Site,Latitude,Longitude,Elevation,Fire_habitat_catergory,Vertical_Cam,Height_CM,Horizontal_Cam,To_Slope_CM,Dis_to_road,Dis_to_path,Underbrush,Canopy_Cover,Midstory,Surrounding_Unburnt,Surrounding_Low,Surrounding_Moderate,Surrounding_High,Surrounding_Extreme,Surrounding_Burn,Dis_to_rainforest_boundry,Habitat
1,-28.05408,152.37852,709.77,Burnt_Sclerophyll,UQ83,76,C10,100,146.92,21.05,Moderate,Open,Sparse,50.79,36.63,11.95,0.63,0,49.21,337.94,Sclerophyll
2,-28.044135,152.396842,817.61,Burnt_Sclerophyll,UQ33,55,C29,100,679.92,17.51,Moderate,Open,Open,0,0.22,7.39,81.35,11.04,100,91.41,Sclerophyll
3,-28.05261,152.37895,721,Burnt_Sclerophyll,CB,40,C6,110,185.73,41.41,Sparse,Open,Open,20.8,48.44,29.96,0.79,0,79.19,204.2,Sclerophyll
4,-28.04761,152.38866,789,Unburnt_Rainforest,C4,55,C1,100,158.9,46.45,Sparse,Moderate,Moderate,100,0,0,0,0,0,403.05,Rainforest
5,-28.05049,152.38165,746,Unburnt_Rainforest,UQ24,140,C12,90,121.57,34.1,Moderate,Moderate,Dense,100,0,0,0,0,0,125.64,Rainforest
6,-28.04874,152.3916,784,Unburnt_Rainforest,C27,55,C23,100,72.58,58.94,Sparse,Moderate,Moderate,100,0,0,0,0,0,351.99,Rainforest
7,-28.04381,152.39075,917,Unburnt_Rainforest,C14,55,C7,100,570.67,25.68,Moderate,Sparse,Moderate,99.1,0.77,0.13,0,0,0,242.28,Rainforest
9,-28.04501,152.39114,885,Unburnt_Rainforest,C15,55,C5,100,440.26,12.16,Moderate,Sparse,Moderate,100,0,0,0,0,0,209.62,Rainforest
10,-28.04679,152.39236,843.1,Unburnt_Rainforest,C26,55,C8,100,314.3,35.48,Moderate,Moderate,Moderate,99.96,0.04,0,0,0,0.04,264.72,Rainforest
11,-28.04593,152.39488,816,Unburnt_Rainforest,UQ26,55,C21,100,438.62,17.72,Sparse,Moderate,Moderate,93.72,4.94,1.34,0,0,6.28,69.9,Rainforest
12,-28.04779,152.38484,782,Burnt_Rainforest,C28,55,C2,100,200,83.2,Dense,Moderate,Open,71.56,20.73,7.71,0,0,28.44,213.1,Rainforest
13,-28.05193,152.39406,796,Burnt_Rainforest,UQ55,85,C17,95,128.77,58.67,Dense,Sparse,Sparse,25.41,28.27,29.27,13.95,2.59,74.08,135.29,Rainforest
14,-28.05563,152.3929,906.89,Burnt_Rainforest,HC,75,C30,110,442.51,186.51,Sparse,Sparse,Dense,40.02,37.42,21.11,1.45,0,59.98,127.91,Rainforest
15,-28.05457,152.39473,852,Burnt_Rainforest,NA,NA,C3,100,236.38,11.41,Moderate,Sparse,Sparse,53.86,33.69,12.01,0.44,0,46.14,92.12,Rainforest
16,-28.04814,152.39426,825,Burnt_Rainforest,HC600,55,C16,100,187.26,17.02,Dense,Sparse,Sparse,65.16,21.03,13.8,0,0,34.83,88.58,Rainforest
17,-28.04833,152.3965,777.49,Burnt_Rainforest,UQ16,55,C25,100,254.88,13.99,Moderate,Sparse,Open,17.49,52.97,27.69,1.84,0,82.5,31.63,Rainforest
18,-28.05757589,152.3991527,878,Burnt_Sclerophyll,UQ51,67,C11,200,312.61,69.08,Dense,Open,Open,0,0,1.47,66.26,32.27,100,459.72,Sclerophyll
19,-28.05656947,152.3960853,867,Burnt_Sclerophyll,UQ59,60,C24,120,365.13,51.32,Moderate,Sparse,Sparse,0,0,4.9,94.4,0.67,99.97,153.01,Sclerophyll
20,-28.04776,152.39767,750,Burnt_Rainforest,35,45,C32,100,381.35,19.75,Moderate,Sparse,Sparse,7.23,32.73,26.83,78.58,2,92.77,4.09,Rainforest
21,-28.0477,152.39963,690,Burnt_Rainforest,UQ11,55,C18,100,536.55,7.8,Moderate,Sparse,Sparse,1.11,4.48,13.83,78.58,2,98.89,30.39,Rainforest
22,-28.04308,152.39719,823,Burnt_Sclerophyll,HC600_Hyer,55,C20,100,799.84,6.95,Moderate,Sparse,Dense,13.31,7.68,13.27,32.27,32.95,86.17,116.15,Sclerophyll
23,-28.04615322,152.4024721,606.27,Burnt_Sclerophyll,HC600_Hyperfire,53,C13,105,865.15,44.8,Dense,Sparse,Moderate,0,3.82,50.36,45.83,0,100,54.86,Sclerophyll
24,-28.04384249,152.404591,543,Burnt_Sclerophyll,HC600_HF,45,C31,300,1183.36,42.77,Dense,Sparse,Sparse,0,0.44,26.97,72.55,0.03,99.99,384.03,Sclerophyll
