Sample,Station,Date,Month,Latitude,Longitude,SST,SSS,Acartia (Acanthacartia) fossae,Acartia (Acanthacartia) sinjiensis,Acartia (Acanthacartia) tonsa,Acartia (Acartiura) clausi,Acartia (Acartiura) simplex,Acartia (Acartiura) tranteri,Acartia (Arcartia) danae,Acartia (Arcartia) negligens,Acartia (Odontacartia) australis,Acartia (Odontacartia) pacifica,Acartia (Odontacartia) pacifica mertoni,Acrocalanus gibber,Acrocalanus gracilis,Acrocalanus longicornis,Acrocalanus monachus,Aetideus acutus,Agetus flaccus,Agetus limbatus,Agetus typicus,Bestiolina similis,Calanoides carinatus,Calanopia aurivilli,Calanopia elliptica,Calanopia minor,Calanus australis,Calocalanus contractus,Calocalanus pavo,Calocalanus plumulosus,Calocalanus styleremis,Calocalanus styliremis,Calocalanus tenuis,Candacia bipinnata,Candacia bradyi,Candacia catula,Candacia cheirura,Candacia discaudata,Candacia ethiopica,Candacia simplex,Candacia truncata,Candacia worthingtoni,Canthocalanus pauper,Centropages australiensis,Centropages bradyi,Centropages furcatus,Centropages orsinii,Clausocalanus arcuicornis,Clausocalanus brevipes,Clausocalanus farrani/jobei,Clausocalanus furcatus,Clausocalanus ingens,Clausocalanus mastigophorus,Clausocalanus minor,Clausocalanus parapergens,Clausocalanus paululus,Clausocalanus pergens,Clytemnestra scutellata,Copilia hendorffi,Copilia mirabilis,Corycaeus clausi,Corycaeus crassiusculus,Corycaeus speciosus,Corycaeus vitreus,Cosmocalanus darwinii,Ctenocalanus vanus,Delibus nudus,Dioithona oculata,Ditrichocorycaeus andrewsi,Ditrichocorycaeus anglicus,Ditrichocorycaeus asiaticus,Ditrichocorycaeus aucklandicus,Ditrichocorycaeus dahli,Ditrichocorycaeus erythraeus,Ditrichocorycaeus lubbocki,Ditrichocorycaeus minimus,Ditrichocorycaeus subtilis,Eucalanus hyalinus,Euchaeta concinna,Euchaeta indica,Euchaeta longicornis,Euchaeta marina,Euchaeta marinella,Euchaeta rimana,Euchirella rostrata,Euchirella rostromagna,Euterpina acutifrons,Farranula carinata,Farranula concinna,Farranula curta,Farranula gibbula,Farranula gracilis,Farranula rostrata,Gladioferens inermis,Haloptilus longicornis,Heterorhabdus lobatus,Heterorhabdus papilliger,Labidocera acuta,Labidocera cervi,Labidocera farrani,Labidocera minuta,Lubbockia squillimana,Lucicutia flavicornis,Lucicutia gaussae,Macrosetella gracilis,Mecynocera clausi,Mesocalanus tenuicornis,Metacalanus aurivillii,Microsetella norvegica,Microsetella rosea,Nannocalanus minor,Neocalanus gracilis,Neocalanus tonsus,Oculosetella gracilis,Oithona atlantica,Oithona attenuata,Oithona australis,Oithona brevicornis,Oithona decipiens/similis,Oithona fallax,Oithona grp 1,Oithona grp 3,Oithona grp 4,Oithona longispina,Oithona nana,Oithona plumifera,Oithona rigida,Oithona setigera,Oithona simplex,Oithona tenuis,Oncaea clevei,Oncaea media,Oncaea mediterranea,Oncaea paraclevei,Oncaea scottodicarloi,Oncaea venusta,Oncaea vodjanitskii complex,Oncaea waldemari,Oncaea zernovi,Onychocorycaeus agilis,Onychocorycaeus catus,Onychocorycaeus giesbrechti,Onychocorycaeus latus,Onychocorycaeus pacificus,Onychocorycaeus pumilus,Paracalanus aculeatus,Paracalanus indicus,Paracalanus parvus,Pareucalanus attenuatus,Pareucalanus sewelli,Parundinella dakini,Parvocalanus crassirostris,Pleuromamma abdominalis,Pleuromamma borealis,Pleuromamma gracilis,Pleuromamma piseki,Pleuromamma quadrungulata,Pontellopsis krameri,Pseudodiaptomus aurivillii,Pseudodiaptomus mertoni,Rhincalanus cornutus,Rhincalanus nasutus,Rhincalanus rostrifrons,Sapphirina angusta,Sapphirina nigromaculata,Sapphirina opalina,Sapphirina scarlata,Sapphirina stellata,Scolecithrix danae,Stephos maculosus,Subeucalanus crassus,Subeucalanus longiceps,Subeucalanus pileatus,Subeucalanus subcrassus,Subeucalanus subtenuis,Temora discaudata,Temora stylifera,Temora turbinata,Temoropia mayumbaensis,Tortanus barbatus,Triconia conifera,Triconia dentipes,Undinula vulgaris,Urocorycaeus lautus,Urocorycaeus longistylis
1329,Darwin,27/06/11,6,-12.4,130.77,24.19374998,35.67330099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7872,0,0,0,4.3936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3936,4.3936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9679,0,0,0,0,0,0,0,0,0,0,0,0,0,65.9037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.2009,8.7872,4.3936,0,0,0,0,65.9036,0,0,0,0,0,0,0,0,0,0,4.3936,0,83.478,0,13.1807,0,0,4.3936,8.7872,0,0,0,0,0,0,0,0,0,0,131.8073,0,0,0,0,0,65.9036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3936,0,0,0,0,4.3936,0,0,0,0,0,0,0
1352,Darwin,5/10/11,10,-12.4,130.77,29.60587485,35.3526828,0,0,0,0,0,0,0,0,0,0.9825,0,2.9475,0,0,0,0,0,0,0,2.9475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.965,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7377,0,0,0,0,0,0,19.6502,0,0,0,0,0,0,0,0,0,0,0,0,8.8426,0,1.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9825,0,0,0,0,0,47.1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.965,0,0,0,0,0,0,0,0,0,0,0,0
1402,Darwin,15/01/12,1,-12.4,130.77,28.11900098,35.50789057,0,0,0,0,0,0,0,0,0,39.3004,0,19.6502,0,0,0,0,0,0,0,471.6054,0,0,0,19.6502,0,0,0,0,0,0,0,0,19.6502,0,0,0,0,0,0,0,78.6009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.2512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6009,0,0,0,0,0,0,471.6054,0,0,0,0,0,0,0,0,19.6502,0,0,0,844.9597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3005,0,0,0,0,0,2358.0272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3005,0,0,0,0,0,0,0,0,0,0,0,0
1403,Darwin,17/04/12,4,-12.4,130.77,25.61859029,34.50627146,0,0,0,0,0,0,0,0,0,0,0,22.1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2087,0,44.2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.4863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.3563,0,0,0,0,0,0,198.939,0,0,44.2087,0,0,0,0,0,353.6693,0,0,0,464.191,0,22.1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.939,22.1043,0,0,0,0,132.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1441,Darwin,30/07/12,7,-12.4,130.77,25.40589187,35.34762378,0,0,0,0,0,0,0,0,0,0,0,0,19.6502,0,0,0,0,0,0,19.6502,0,0,0,19.6502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.9507,0,0,0,0,0,0,0,0,0,0,0,0,0,294.7534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6009,78.6009,0,0,0,0,0,0,39.3005,0,0,0,0,0,0,0,0,255.4529,0,0,0,275.1032,0,58.9507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.2511,19.6502,0,0,0,0,412.6547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1538,Darwin,30/10/12,10,-12.4,130.77,28.2078872,35.05286539,0,0,0,0,0,0,0,0,0,0,0,8.9319,7.1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7864,0,0,0,1.7864,0,0,0,0,0,0,28.5821,0,0,0,0,0,0,0,0,32.1549,0,0,0,1.7864,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7864,1.7864,0,0,32.1549,0,0,0,0,341.1993,0,0,0,0,0,0,0,1.7864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7864,0,0,0,0,0
1484,Darwin,9/12/12,12,-12.4,130.77,25.44170851,35.61333206,0,0,0,0,0,0,58.9507,0,0,0,0,19.6502,0,0,0,0,0,0,0,39.3004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3005,0,78.6009,0,39.3005,0,19.6502,39.3005,0,0,0,0,0,0,0,0,0,0,569.8566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.9507,0,0,0,98.2511,0,0,0,0,0,0,216.1525,0,0,0,0,0,0,0,0,0,0,0,0,550.2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6502,19.6502,0,0,0,0,471.6054,0,0,0,0,0,0,0,39.3004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757,Darwin,5/04/13,4,-12.4,130.77,26.14757502,35.45069332,0,0,0,0,0,0,0,0,0,29.4753,0,19.6502,0,0,0,0,0,0,0,9.8251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1255,0,0,0,19.6502,0,0,0,0,0,0,0,0,0,0,0,0,0,137.5516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6502,0,0,0,0,0,0,9.8251,137.5516,9.8251,0,0,0,0,0,0,49.1256,0,0,0,294.7534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.5785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3019,Darwin,17/06/13,6,-12.4,130.77,24.40737664,36.08407861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.9507,0,0,0,0,0,0,0,0,0,0,0,19.6502,0,0,0,0,137.5516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6502,19.6502,0,0,0,0,19.6502,0,0,0,0,0,0,0,0,0,0,0,0,58.9507,0,0,216.1525,0,19.6502,19.6502,0,0,0,39.3005,0,0,98.2511,0,0,0,0,0,0,196.5023,0,0,39.3005,19.6502,0,0,0,0,39.3005,117.9014,0,0,0,0,0,0,0,0,0,78.6009,39.3004,0,0,19.6502,0,39.3005,0,0,0,0,0,0,0,0,0,0,19.6502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3041,Darwin,16/09/13,9,-12.4,130.77,27.31436723,35.67314846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8251,0,0,0,0,0,0,0,0,0,0,560.0315,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8251,0,0,0,0,0,0,0,78.6009,0,0,0,0,0,0,9.8251,0,0,0,0,0,0,0,0,324.2287,0,0,0,196.5023,0,0,0,0,9.8251,0,0,0,0,0,0,0,0,0,0,0,19.6502,29.4753,0,0,0,0,206.3274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8251,0,0,0,0,0
