Family,Genus,Species,Mass,PopDensity,MaxLifeSpan
Dasyuridae,Planigale,gilesi,7,7.4,5
Acrobatidae,Acrobates,pygmaeus,12,9,3
Dasyuridae,Sminthopsis,murina,14,6,2
Dasyuridae,Sminthopsis,crassicaudata,15,0.5,3
Dasyuridae,Sminthopsis,hirtipes,18,0.2,NA
Dasyuridae,Antechinus,agilis,18,8.13,NA
Dasyuridae,Sminthopsis,griseoventer,19,2.5,NA
Dasyuridae,Sminthopsis,leucopus,19,6.18,2.5
Dasyuridae,Antechinus,stuartii,20,2.87,2
Microbiotheriidae,Dromiciops,gliroides,24,0.5,3
Burramyidae,Cercartetus,nanus,24,11.56,8
Dasyuridae,Murexia,melanurus,27,1.5,NA
Burramyidae,Cercartetus,caudatus,30,0.5,3.2
Dasyuridae,Antechinus,bellus,34,1.6,2
Dasyuridae,Antechinus,flavipes,34,6.9,3.5
Didelphidae,Marmosa,canescens,40,4.5,NA
Dasyuridae,Antechinus,swainsonii,41,7.09,2
Dasyuridae,Antechinus,minimus,42,14,2
Burramyidae,Burramys,parvus,42,61.25,12
Dasyuridae,Murexia,naso,43,1.5,NA
Dasyuridae,Antechinus,leo,54,1.62,2
Dasyuridae,Parantechinus,apicalis,58,6,2
Didelphidae,Marmosa,robinsoni,60,3.25,2
Dasyuridae,Antechinus,godmani,61,0.05,NA
Didelphidae,Monodelphis,brevicaudata,70,1,1
Didelphidae,Monodelphis,domestica,80,4,4.5
Petauridae,Petaurus,breviceps,115,5.01,9
Didelphidae,Micoureus,demerarae,130,1.45,NA
Petauridae,Gymnobelideus,leadbeateri,133,2.5999999999999996,8
Dasyuridae,Phascogale,tapoatafa,156,1.11,3.5
Didelphidae,Caluromys,philander,187,0.97,NA
Peramelidae,Perameles,bougainville,226,0.34,NA
Petauridae,Petaurus,norfolcensis,230,1.54,6
Petauridae,Petaurus,gracilis,343,0.12,NA
Dasyuridae,Dasyurus,hallacatus,400,0.21,2.9
Petauridae,Dactylopsila,trivirgata,423,0.04,NA
Didelphidae,Philander,opossum,450,1.255,3.5
Myrmecobiidae,Myrmecobius,fasciatus,459,0.05,NA
Peramelidae,Isoodon,auratus,485,10,NA
Potoroidae,Hypsiprymnodon,moschatus,511,2.4,6
Burramyidae,Petaurus,australis,528,0.12,6
Peramelidae,Isoodon,obesulus,700,1.82,3.5
Peramelidae,Perameles,gunnii,750,6.65,3
Didelphidae,Didelphis,albiventris,825,4,1.7
Didelphidae,Didelphis,aurita,850,0.4,NA
Peramelidae,Perameles,nasuta,859,0.9,NA
Dasyuridae,Dasyurus,viverrinus,880,0.19,4
Dasyuridae,Dasyurus,geoffroii,890,0.02,5
Pseudocheiridae,Pseudocheirus,peregrinus,900,13.74,5
Pseudocheiridae,Pseudochirulus,cinereus,910,1.46,NA
Pseudocheiridae,Hemibelideus,lemuroides,925,7,NA
Pseudocheiridae,Pseudocheirus,occidentalis,1000,3.2,NA
Potoroidae,Potorous,tridactylus,1020,0.99,7
Pseudocheiridae,Pseudochirulus,herbertensis,1050,9,NA
Peramelidae,Isoodon,macrourus,1100,0.7,2.1
Pseudocheiridae,Pseudochirops,archeri,1120,1.5,NA
Potoroidae,Bettongia,tropica,1200,0.2,7
Potoroidae,Bettongia,xanthopus,1300,0.17,NA
Potoroidae,Bettongia,penicillata,1300,0.26,6
Macropodidae,Lagorchestes,hirsutus,1310,0.27,8
Didelphidae,Didelphis,marsupialis,1530,1.6600000000000001,2
Potoroidae,Potorous,longipes,1650,0.41000000000000003,10
Potoroidae,Bettongia,gaimardi,1660,0.19,7
Phalangeridae,Wyulda,squamicaudata,1675,3.45,NA
Pseudocheiridae,Petauroides,volans,1700,1.18,15
Didelphidae,Didelphis,virginiana,1800,0.27,3
Macropodidae,Lagostrophus,fasciatus,1800,0.88,4
Pseudocheiridae,Petropseudes,dahli,2000,0.18,NA
Phalangeridae,Trichosurus,vulpecula,2300,2.1,13
Potoroidae,Aepyprymnus,rufescens,2500,0.96,NA
Phalangeridae,Trichosurus,caninus,2900,0.5499999999999999,17
Macropodidae,Setonix,brachyurus,2900,11.4,12
Macropodidae,Lagorchestes,conspicillatus,3000,0.42,6
Macropodidae,Onychogalea,fraenata,3400,0.2,5
Macropodidae,Thylogale,thetis,3800,3.6,9
Macropodidae,Thylogale,billardierii,3900,2.5,10
Dasyuridae,Dasyurus,maculatus,4000,0.04,NA
Macropodidae,Thylogale,stigmatica,4100,3.25,NA
Macropodidae,Petrogale,lateralis,4200,2.75,12
Macropodidae,Petrogale,assimilis,4300,0.86,13
Phascolarctidae,Phascolarctos,cinereus,5100,3,18
Macropodidae,Petrogale,persephone,5200,0.06,NA
Macropodidae,Macropus,eugenii,5500,0.75,14
Macropodidae,Petrogale,penicillata,6300,3,14
Macropodidae,Dendrolagus,lumholtzi,6475,1.275,NA
Macropodidae,Macropus,dorsalis,6500,1.1,15
Dasyuridae,Sarcophilus,harrisii,7000,0.06,6
Macropodidae,Petrogale,xanthopus,7000,0.15,12
Macropodidae,Macropus,irma,8000,0.27,NA
Macropodidae,Dendrolagus,bennettianus,9300,0.28,20
Macropodidae,Macropus,agilis,11000,0.18,12
Macropodidae,Macropus,parryi,11000,0.36000000000000004,14
Macropodidae,Wallabia,bicolor,13000,0.31,12
Macropodidae,Macropus,rufogriseus,13800,0.36000000000000004,19
Macropodidae,Macropus,robustus,15600,0.31,24
Macropodidae,Macropus,fuliginosus,16000,0.41,20
Macropodidae,Macropus,antilopinus,17500,0.22,NA
Macropodidae,Macropus,giganteus,17800,0.45,24
Vombatidae,Vombatus,ursinus,26000,0.36000000000000004,20
Vombatidae,Lasiorhinus,latifrons,26000,2.7399999999999998,20
Macropodidae,Macropus,rufus,26500,0.11,25
Vombatidae,Lasiorhinus,krefftii,31000,0.22,27
