species_code,species,genus,family,order,clade,fast,hardy,species_map_code
B,Acronychia laevis,Acronychia,Rutaceae,Sapindales,Rosids,0,10,ACLA
A,Acacia leiocalyx,Acacia,Fabaceae,Fabales,Rosids,30,0,ACLE
C,Alphitonia excelsa,Alphitonia,Rhamnaceae,Rosales,Rosids,25,0,ALEX
D,Argyrodendron trifoliolatum,Argyrodendron,Malvaceae,Malvales,Rosids,0,40,ARTR
E,Cryptocarya triplinervis,Cryptocarya,Lauraceae,Laurales,Magnoliids,10,20,CRTR
F,Cupaniopsis anacardioides,Cupaniopsis,Sapindaceae,Sapindales,Rosids,10,40,CUAN
G,Diospyros fasciculosa,Diospyros,Ebenaceae,Ericales,Asterids,8,19,DIFA
H,Drypetes deplanchei,Drypetes,Putranjivaceae,Malpighiales,Rosids,0,8,DRDE
I,Ficus coronata,Ficus,Moraceae,Rosales,Rosids,30,0,FICO
J,Ficus obliqua,Ficus,Moraceae,Rosales,Rosids,0,20,FIOB
K,Ficus virens,Ficus,Moraceae,Rosales,Rosids,16,45,FIVI
L,Flindersia australis,Flindersia,Rutaceae,Sapindales,Rosids,0,45,FLAU
M,Glochidion ferdinandi,Glochidion,Phyllanthaceae,Malpighiales,Rosids,35,0,GLFE
N,Guioa semiglauca,Guioa,Sapindaceae,Sapindales,Rosids,45,0,GUSE
O,Jagera pseudorhus,Jagera,Sapindaceae,Sapindales,Rosids,45,0,JAPS
P,Melaleuca bracteata,Melaleuca,Myrtaceae,Myrtales,Rosids,0,30,MEBR
Q,Notelaea longifolia,Notelaea,Oleaceae,Lamiales,Asterids,0,9,NOLO
R,Streblus brunonianus,Streblus,Moraceae,Rosales,Rosids,8,17,STBR
S,Syzygium australe,Syzygium,Myrtaceae,Myrtales,Rosids,21,22,SYAU
T,Syzygium francisii,Syzygium,Myrtaceae,Myrtales,Rosids,17,30,SYFR
U,Syzygium smithii,Syzygium,Myrtaceae,Myrtales,Rosids,0,18,SYSM
W,Toona ciliata,Toona,Meliaceae,Sapindales,Rosids,45,0,TOCI
V,Toechima tenax,Toechima,Sapindaceae,Sapindales,Rosids,10,27,TOTE
X,Trema tomentosa,Trema,Cannabaceae,Rosales,Rosids,45,0,TRTO
NA,Acacia maidenii,Acacia,Fabaceae,Fabales,Rosids,NA,NA,ACMA
