paddock,plot_pair,plot,mix,date_planted,order_planted,date_first_mapped,date_first_monitor,day_1_tmax,date_Jagera_planted
1,1,1,F,31/10/16,1,3/11/16,21/2/17,28.6,20/6/17
1,1,2,H,31/10/16,2,3/11/16,21/2/17,28.6,NA
1,2,3,F,1/11/16,3,4/11/16,3/3/17,27.7,20/6/17
1,2,4,H,1/11/16,4,4/11/16,3/3/17,27.7,NA
2,3,5,F,2/11/16,7,7/11/16,3/3/17,29,20/6/17
2,3,6,H,3/11/16,8,7/11/16,3/3/17,28.5,NA
2,4,7,F,3/11/16,9,7/11/16,3/3/17,28.5,20/6/17
2,4,8,H,3/11/16,10,8/11/16,9/3/17,28.5,NA
2,5,9,H,7/11/16,11,8/11/16,9/3/17,29.2,NA
2,5,10,F,7/11/16,12,8/11/16,10/3/17,29.2,20/6/17
3,6,11,F,1/11/16,5,9/11/16,10/3/17,27.7,20/6/17
3,6,12,H,2/11/16,6,9/11/16,10/3/17,29,NA
5,7,13,F,8/11/16,13,17/11/16,14/3/17,33.3,NA
5,7,14,H,9/11/16,14,15/11/16,14/3/17,32.6,NA
6,8,15,H,9/11/16,15,17/11/16,17/3/17,32.6,NA
6,8,16,F,9/11/16,16,21/11/16,17/3/17,32.6,NA
7,9,17,H,14/11/16,17,17/11/16,17/3/17,29.7,NA
7,9,18,F,15/11/16,18,21/11/16,18/3/17,26.9,NA
8,10,19,H,16/11/16,19,25/11/16,18/3/17,28.7,NA
8,10,20,F,17/11/16,20,25/11/16,18/3/17,28.8,NA
