plot,quadrant,ring_number,ring_gladwrap_wet_soil_g,glad_wrap_g,void_vol_cm3,ring_dry_soil_g,ring_g,ring_volume_cm3,wet_soil_mass_g,dry_soil_mass_g,soil_volume_cm3,grav_water_content_g_g,bulk_density_g_cm3,pH,EC_dS_m,K_mg_kg,P_mg_kg,NO3_N_mg_kg,NH4_N_mg_kg
1,S1,106,1941,0,21,1587,412,1026.48,1529,1175,1005.48,0.301276596,1.168596093,5.83,0.095,166,76.4,18,10
1,S2,94,2008,0,8,1617,416.5,1026.48,1591.5,1200.5,1018.48,0.325697626,1.178717304,5.71,0.138,379,175,42.4,10.3
1,S3,161,2002,0,16,1713,424,1050.64,1578,1289,1034.64,0.22420481,1.245843965,5.84,0.087,124,129.6,17,9.8
1,S4,160,1976,0,6,1603,414,1026.48,1562,1189,1020.48,0.313708999,1.165137974,5.56,0.095,205,241.9,25.7,10.7
2,S1,58,1996,0,33,1626,422,1038.56,1574,1204,1005.56,0.30730897,1.197342774,5.79,0.114,262,150.7,34.7,10.5
2,S2,155,1966,0,41,1589,422,1038.56,1544,1167,997.56,0.323050557,1.169854445,5.77,0.092,244,90.9,28,8.7
2,S3,79,2092,3.8,12,1676,421,1038.56,1667.2,1255,1026.56,0.328446215,1.222529613,5.94,0.078,323,80.1,11.6,8
2,S4,137,2099,4.2,5,1745,422,1038.56,1672.8,1323,1033.56,0.264399093,1.280041797,6.04,0.087,221,128.3,12.9,11.3
3,S1,121,2107,5.9,121,1770,423,1038.56,1678.1,1347,917.56,0.245805494,1.468023889,5.89,0.071,116,83.5,15.7,8.5
3,S2,68,2216,4.3,4,1811,419,1038.56,1792.7,1392,1034.56,0.287859195,1.345499536,5.67,0.125,405,151.1,38.1,10.5
3,S3,95,2014,5.9,41,1757,411.5,1038.56,1596.6,1345.5,997.56,0.186622074,1.34879105,5.88,0.06,182,64.5,9.8,11
3,S4,78,2107,4.4,50,1797,446,1038.56,1656.6,1351,988.56,0.226202813,1.366634296,5.74,0.087,230,92.7,25.9,9.4
4,S1,140,2037,5.9,54,1716,417,1026.48,1614.1,1299,972.48,0.242571209,1.335760118,5.79,0.092,335,126,25.3,12.5
4,S2,16,2134,5.4,17,1816,417,1026.48,1711.6,1399,1009.48,0.223445318,1.385862028,6.06,0.064,128,85.8,10.4,9.3
4,S3,69,2098,4.7,11,1806,412.5,1038.56,1680.8,1393.5,1027.56,0.206171511,1.35612519,6.33,0.045,143,71,6.3,10.3
4,S4,44,1990,5.1,59,1707,419,1038.56,1565.9,1288,979.56,0.21576087,1.314876067,6.11,0.053,297,62.4,6.7,9.2
5,S1,57,2058,4.7,2,1650,418,1038.56,1635.3,1232,1036.56,0.327353896,1.188546731,6.12,0.079,226,73.7,6,11.8
5,S2,105,2060,5.3,51,1708,421,1038.56,1633.7,1287,987.56,0.269386169,1.303211957,5.77,0.064,349,114.7,8.9,10.6
5,S3,127,1998,5.7,13,1696,422,1038.56,1570.3,1274,1025.56,0.232574568,1.242248138,5.95,0.058,387,100,7.3,11.3
5,S4,157,2087,4.7,39,1754,420.5,1038.56,1661.8,1333.5,999.56,0.246194226,1.334086998,6.26,0.045,92,32.1,4.2,10.5
