plot,x,y,species_map_code,height_cm_when_mapped,notes_when_mapped,alive_first_monitor,height_cm_first_monitor,notes_first_monitor,plant_elevation
1,0.75,0.75,JAPS,NA,,1,10,,5.725999
1,0.75,2.25,JAPS,NA,,1,12,,5.717
1,0.75,3.75,SYAU,8,,0,NA,,5.747
1,0.75,5.25,GUSE,11,,0,NA,,5.692999
1,0.75,6.75,FICO,10,,1,17,height of living,5.589
1,0.75,8.25,TOTE,51,,1,54,,5.57
1,0.75,9.75,ALEX,14,,1,74,,5.583
1,0.75,11.25,TOCI,18,,0,NA,,5.515999
1,0.75,12.75,ACLE,15,,1,85,,5.564
1,0.75,14.25,JAPS,NA,,1,15,,5.604
1,0.75,15.75,ALEX,9,,1,75,,5.762
1,0.75,17.25,TOCI,15,,0,NA,,5.691999
1,0.75,18.75,FICO,13,,1,77,,5.717
1,0.75,20.25,GUSE,10,,1,32,,5.69
1,0.75,21.75,CUAN,12,,1,34,,5.730999
1,0.75,23.25,ACLE,10,,1,116,,5.745999
1,0.75,24.75,TOCI,15,,0,NA,,5.796
1,0.75,26.25,GLFE,4,,0,NA,,5.716
1,0.75,27.75,JAPS,NA,,1,14,,5.75
1,0.75,29.25,TRTO,13,,1,155,,5.76
1,2.25,0.75,CUAN,20,,1,31,,5.748
1,2.25,2.25,TOCI,16,,0,NA,,5.717999
1,2.25,3.75,GUSE,11,,0,NA,,5.698999
1,2.25,5.25,TOCI,14,,0,NA,,5.671999
1,2.25,6.75,ALEX,7,,1,34,,5.593999
1,2.25,8.25,CUAN,17,,1,33,,5.592999
1,2.25,9.75,TRTO,10,,1,132,,5.565999
1,2.25,11.25,JAPS,NA,,1,16,,5.605
1,2.25,12.75,JAPS,NA,,1,10,,5.603
1,2.25,14.25,GLFE,7,,1,8,,5.626999
1,2.25,15.75,TOCI,10,,0,NA,,5.633999
1,2.25,17.25,ALEX,12,,1,41,,5.664999
1,2.25,18.75,TOCI,16,,1,60,,5.711999
1,2.25,20.25,TRTO,10,,1,140,,5.677
1,2.25,21.75,GLFE,8,,1,43,,5.702
1,2.25,23.25,SYAU,11,,1,37,,5.723999
1,2.25,24.75,JAPS,NA,,1,21,,5.78
1,2.25,26.25,TOTE,62,,0,NA,,5.697999
1,2.25,27.75,FIVI,42,,1,75,,5.647999
1,2.25,29.25,JAPS,NA,,1,16,,5.663
1,3.75,0.75,GLFE,12,,0,NA,,5.693999
1,3.75,2.25,GUSE,17,,0,NA,,5.698999
1,3.75,3.75,TOCI,15,,0,NA,,5.681
1,3.75,5.25,SYFR,46,,0,NA,,5.645999
1,3.75,6.75,JAPS,NA,,1,10,,5.612999
1,3.75,8.25,JAPS,NA,,1,25,,5.604
1,3.75,9.75,TRTO,7,,1,146,,5.643
1,3.75,11.25,SYAU,14,,1,23,,5.671999
1,3.75,12.75,FICO,16,,1,58,,5.607999
1,3.75,14.25,ACLE,15,,1,136,,5.644
1,3.75,15.75,TOCI,10,,1,44,,5.622
1,3.75,17.25,SYFR,51,,0,NA,,5.673999
1,3.75,18.75,ALEX,10,,1,66,,5.636
1,3.75,20.25,GLFE,9,,1,51,fruiting,5.652999
1,3.75,21.75,TOCI,12,,1,53,,5.710999
1,3.75,23.25,TOCI,12,,0,NA,,5.690999
1,3.75,24.75,TOTE,68,,0,NA,,5.725999
1,3.75,26.25,GUSE,12,,0,NA,,5.678999
1,3.75,27.75,NA,NA,,NA,NA,,5.672999
1,3.75,29.25,TOCI,12,,1,62,,5.612999
1,5.25,0.75,FICO,7,,1,24,,5.688
1,5.25,2.25,DIFA,31,,1,37,,5.675
1,5.25,3.75,TOCI,9,,0,NA,,5.671999
1,5.25,5.25,FICO,8,,1,55,,5.657999
1,5.25,6.75,TRTO,7,,1,71,,5.717999
1,5.25,8.25,ACLE,12,,1,135,,5.657999
1,5.25,9.75,TRTO,7,,1,83,,5.688
1,5.25,11.25,GUSE,6,,0,NA,,5.681
1,5.25,12.75,FIVI,62,,1,61,snapped top,5.676
1,5.25,14.25,FICO,8,,1,45,,5.605999
1,5.25,15.75,GUSE,13,,1,13,,5.637
1,5.25,17.25,GUSE,12,,1,35,,5.655
1,5.25,18.75,GUSE,15,,1,27,,5.607999
1,5.25,20.25,SYAU,18,,1,39,,5.651
1,5.25,21.75,CRTR,24,,1,28,,5.581999
1,5.25,23.25,TRTO,13,,1,128,,5.651
1,5.25,24.75,GLFE,13,,1,51,,5.662
1,5.25,26.25,TRTO,7,,1,99,,5.67
1,5.25,27.75,FIVI,44,,1,74,,5.559
1,5.25,29.25,TRTO,7,,1,51,,5.651
1,6.75,0.75,ALEX,5,,1,86,,5.671
1,6.75,2.25,TOCI,13,,0,NA,,5.677999
1,6.75,3.75,JAPS,NA,,1,13,,5.677
1,6.75,5.25,FICO,12,,1,60,,5.684
1,6.75,6.75,TOCI,13,,0,NA,,5.698999
1,6.75,8.25,JAPS,NA,,1,18,,5.757999
1,6.75,9.75,SYAU,7,,1,36,,5.693999
1,6.75,11.25,GLFE,12,,1,36,,5.657999
1,6.75,12.75,GUSE,17,,1,53,,5.627999
1,6.75,14.25,TOCI,15,,1,62,,5.585999
1,6.75,15.75,TOCI,15,,0,NA,,5.600999
1,6.75,17.25,GLFE,14,,1,57,,5.585999
1,6.75,18.75,GLFE,9,,1,38,,5.627999
1,6.75,20.25,ACLE,21,,1,23,leaning,5.585999
1,6.75,21.75,FICO,15,,1,68,,5.554999
1,6.75,23.25,GLFE,11,,0,NA,,5.646999
1,6.75,24.75,SYFR,69,,0,NA,snapped top,5.638999
1,6.75,26.25,TOCI,16,,0,NA,,5.554999
1,6.75,27.75,GLFE,9,,1,9,,5.585999
1,6.75,29.25,STBR,40,,0,NA,,5.616
1,8.25,0.75,TOTE,56,,0,NA,,5.65
1,8.25,2.25,JAPS,NA,,1,21,,5.717
1,8.25,3.75,TRTO,16,,1,115,,5.715
1,8.25,5.25,FIVI,29,FIOB replaced with FIVI on 21/11/16 ,1,68,,5.693999
