Matrix,Sex,Trait,a,b,c,d,e,f,g,h,i,j
P,M,a,12.8,2.94,7,0.74,2.3,0.91,4.57,-1.78,-2.97,-0.87
P,M,b,2.94,14.07,6.63,-3.36,7.59,5.74,3.7,1.82,0.22,-1.13
P,M,c,7,6.63,27.31,14.29,9.81,11.09,15.85,2.12,5.25,3.14
P,M,d,0.74,-3.36,14.29,34.89,12.33,25.48,7.22,6.26,17.86,12.1
P,M,e,2.3,7.59,9.81,12.33,27.96,19.39,14.09,12.68,6.27,-8.67
P,M,f,0.91,5.74,11.09,25.48,19.39,30.36,13.75,8.06,17.71,10.14
P,M,g,4.57,3.7,15.85,7.22,14.09,13.75,29.61,-0.5,1.6,1.11
P,M,h,-1.78,1.82,2.12,6.26,12.68,8.06,-0.5,15.19,9.83,-5.2
P,M,i,-2.97,0.22,5.25,17.86,6.27,17.71,1.6,9.83,21.15,11.15
P,M,j,-0.87,-1.13,3.14,12.1,-8.67,10.14,1.11,-5.2,11.15,18.82
P,F,a,18.17,2.84,7.29,0.38,2.28,1.1,5.88,-0.55,-1.27,-0.33
P,F,b,2.84,10.82,6.95,1.82,4.78,7.26,6.06,0.39,2.56,3.16
P,F,c,7.29,6.95,30.03,23.44,14.85,17.93,22.43,0.45,6.12,5.34
P,F,d,0.38,1.82,23.44,45.69,26.74,40.92,20.71,5.16,20.79,14.82
P,F,e,2.28,4.78,14.85,26.74,36.75,32.43,21.33,10.04,10.74,-3.46
P,F,f,1.1,7.26,17.93,40.92,32.43,49.95,25.17,6.01,24.06,17.83
P,F,g,5.88,6.06,22.43,20.71,21.33,25.17,33.95,-3.26,3.5,5.62
P,F,h,-0.55,0.39,0.45,5.16,10.04,6.01,-3.26,12.56,7.83,-3.94
P,F,i,-1.27,2.56,6.12,20.79,10.74,24.06,3.5,7.83,21.44,13.52
P,F,j,-0.33,3.16,5.34,14.82,-3.46,17.83,5.62,-3.94,13.52,21.47
G,M,a,1.48,0.27,0.88,0.14,0.65,-0.3,0.44,-0.21,-0.59,-0.79
G,M,b,0.27,1.43,0.37,-0.82,1.15,0.71,0.47,0.49,-0.14,-0.45
G,M,c,0.88,0.37,2.13,1.31,1.1,-0.06,1.52,0.14,-0.39,-0.93
G,M,d,0.14,-0.82,1.31,2.55,-0.22,-0.45,0.69,-0.59,-0.21,-0.11
G,M,e,0.65,1.15,1.1,-0.22,1.63,0.06,1.54,0,-0.97,-1.37
G,M,f,-0.3,0.71,-0.06,-0.45,0.06,0,0.82,-0.33,-0.38,-0.11
G,M,g,0.44,0.47,1.52,0.69,1.54,0.82,2.01,0.05,-0.35,-0.45
G,M,h,-0.21,0.49,0.14,-0.59,0,-0.33,0.05,0.48,-0.01,-0.36
G,M,i,-0.59,-0.14,-0.39,-0.21,-0.97,-0.38,-0.35,-0.01,0.25,0.45
G,M,j,-0.79,-0.45,-0.93,-0.11,-1.37,-0.11,-0.45,-0.36,0.45,1.05
G,F,a,1.03,0.1,0.47,-1.55,0.65,-1.08,0.59,0.39,-1.01,-1.59
G,F,b,0.1,2.07,1.42,-0.97,2.2,1.15,1.79,0.7,-0.08,-0.74
G,F,c,0.47,1.42,2.57,0.58,3.11,1.28,2.57,0.58,-0.39,1.36
G,F,d,-1.55,-0.97,0.58,6.17,2.12,4.22,0.18,0.43,2.62,1.9
G,F,e,0.65,2.2,3.11,2.12,6.84,3.15,3.38,2.22,0.48,-3.12
G,F,f,-1.08,1.15,1.28,4.22,3.15,4.94,1.54,0.21,2.63,1.89
G,F,g,0.59,1.79,2.57,0.18,3.38,1.54,3.58,-0.02,-0.42,-1.25
G,F,h,0.39,0.7,0.58,0.43,2.22,0.21,-0.02,1.55,-0.02,-1.83
G,F,i,-1.01,-0.08,-0.39,2.62,0.48,2.63,-0.42,-0.02,1.86,1.96
G,F,j,-1.59,-0.74,1.36,1.9,-3.12,1.89,-1.25,-1.83,1.96,4.68
