Family,Phyl_name,Spp_rich,Divergence,Egg,Egg_3
Acanthuridae,Acanthuridae_Ctenochaetus_striatus,82,0.290802,pelagic,pelagic
Apogonidae,Apogonidae_Apogon_quadrifasciatus,332,0.325032,demersal,demersal
Aulostomidae,Aulostomidae_Aulostomus_chinensis,3,0.066185,pelagic,pelagic
Balistidae,Balistidae_Balistes_capriscus,42,0.223234,pelagic,scatterer
Blenniidae,Blenniidae_Parablennius_gattorugine,399,0.313074,demersal,demersal
Bothidae,Bothidae_Arnoglossus_imperialis,165,0.337656,pelagic,pelagic
Caesionidae,Caesionidae_Pterocaesio_digramma,22,0.136004,pelagic,pelagic
Callionymidae,Callionymidae_Callionymus_schaapii,187,0.339906,pelagic,pelagic
Carapidae,Carapidae_Echiodon_cryomargarite,34,0.29866,pelagic,pelagic
Chaenopsidae,Chaenopsidae_Chaenopsis_alepidota,93,0.334546,demersal,demersal
Chaetodontidae,Chaetodontidae_Chaetodon_striatus,129,0.262637,pelagic,pelagic
Cheilodactylidae,Cheilodactylidae_Nemadactylus_macropterus,27,0.224855,pelagic,pelagic
Cirrhitidae,Cirrhitidae_Cirrhitichthys_oxycephalus,34,0.276514,pelagic,pelagic
Clinidae,Clinidae_Heterostichus_rostratus,84,0.287424,demersal,demersal
Dactylopteridae,Dactylopteridae_Dactylopterus_volitans,7,0.237639,pelagic,pelagic
Diodontidae,Diodontidae_Diodon_holocanthus,18,0.283695,pelagic,pelagic
Fistulariidae,Fistulariidae_Fistularia_petimba,4,0.226096,pelagic,pelagic
Gerreidae,Gerreidae_Gerres_cinereus,49,0.312572,pelagic,pelagic
Gobiesocidae,Gobiesocidae_Apletodon_incognitu,157,0.301197,demersal,demersal
Gobiidae,Gobiidae_Periophthalmus_barbarus,1594,0.345917,demersal,demersal
Grammatidae,Grammatidae_Gramma_loreto,12,0.284442,pelagic,pelagic
Haemulidae,Haemulidae_Pomadasys_perotaei,129,0.256867,pelagic,pelagic
Holocentridae,Holocentridae_Myripristis_berndti,84,0.24927,pelagic,pelagic
Kyphosidae,Kyphosidae_Microcanthus_strigatus,51,0.251849,pelagic,pelagic
Labridae_Scaridae,Labridae_Xyrichtys_novacula,720,0.31132,pelagic,pelagic
Labrisomidae,Labrisomidae_Neoclinus_blanchardi,111,0.331637,demersal,demersal
Lethrinidae,Lethrinidae_Lethrinus_miniatus,40,0.331645,pelagic,pelagic
Lophiidae,Lophiidae_Lophius_piscatorius,24,0.264401,pelagic,pelagic
Lutjanidae,Lutjanidae_Lutjanus_sebae,108,0.219648,pelagic,pelagic
Malacanthidae,Malacanthidae_Lopholatilus_chamaeleonticeps,42,0.278887,pelagic,pelagic
Microdesmidae,Microdesmidae_Ptereleotris_zebra,83,0.283226,demersal,demersal
Monacanthidae,Monacanthidae_Cantherhines_dumerilii,106,0.279036,pelagic,scatterer
Monocentridae,Monocentridae_Monocentris_japonicus,4,0.004627,pelagic,pelagic
Mugilidae,Mugilidae_Liza_sp,73,0.286692,pelagic,pelagic
Mullidae,Mullidae_Mullus_surmuletus,73,0.304779,pelagic,pelagic
Ophidiidae,Ophidiidae_Lamprogrammus_scherbachevi,245,0.317893,pelagic,pelagic
Opistognathidae,Opisthognathidae_Opistognathus_aurifrons,73,0.217116,demersal,demersal
Ostraciidae,Ostraciidae_Ostracion_meleagris,29,0.29632,pelagic,pelagic
Pomacanthidae,Pomacanthidae_Pomacanthus_maculosus,87,0.29632,pelagic,pelagic
Pomacentridae,Pomacentridae_Dascyllus_trimaculatus,379,0.296469,demersal,demersal
Priacanthidae,Priacanthidae_Priacanthus_arenatus,18,0.302378,pelagic,pelagic
Sebastidae,Sebastidae_Sebastes_auriculatus,133,0.242843,pelagic,pelagic
SerrAcan,SerrAcan_Acanthistius_brasilianus,13,0.290802,pelagic,pelagic
SerrAnth,SerrAnth_Holanthias_chrysostictus,190,0.302561,pelagic,pelagic
SerrEpin,SerrEpin_Epinephelus_aeneus,231,0.266977,pelagic,pelagic
SerrNiph,SerrNiph_Niphon_spinosus,1,0.015,pelagic,pelagic
SerrSerr,SerrSerr_Serranus_accraensis,80,0.293005,pelagic,pelagic
Siganidae,Siganidae_Siganus_vulpinus,32,0.142018,pelagic,scatterer
Sparidae,Sparidae_Acanthopagrus_latus,129,0.263942,pelagic,pelagic
Stichaeidae,Stichaeidae_Xiphister_atropurpureus,66,0.215363,demersal,demersal
Syngnathidae,Syngnathidae_Nerophis_lumbricifo,336,0.340327,demersal,demersal
Synodontidae,Synodontidae_Synodus_foetens,69,0.317285,pelagic,pelagic
Tetraodontidae,Tetradontidae_Fugu_rubripes,189,0.259523,pelagic,scatterer
Tripterygiidae,Tripterygiidae_Tripterygion_delaisi,168,0.299439,demersal,demersal
Zanclidae,Zanclidae_Zanclus_cornutus,1,0.009952,pelagic,pelagic
