Reference,Fam_Spp,Species,Family ,Genus,TL,RealEgg,Egg,Marker,KM,LogKM,BGB,FST,No_zero_Fst,Rous
3,Acanthuridae_Acanthurus_nigricans,Acanthurus_nigricans,Acanthuridae,Acanthurus,21,pelagic,pelagic,mtDNA,8897,4,1,0.51,0.51,1.083333333
4,Acanthuridae_Acanthurus_nigrofuscus,Acanthurus_nigrofuscus,Acanthuridae,Acanthurus,21,pelagic,pelagic,mtDNA,2529,3,0,-0.006,0,0.01010101
6,Acanthuridae_Acanthurus_triostegus,Acanthurus_triostegus,Acanthuridae,Acanthurus,27,pelagic,pelagic,mtDNA,10050,4,1,0.377,0.377,0.63132137
50,Acanthuridae_Ctenochaetus_marginatus,Ctenochaetus_marginatus,Acanthuridae,Ctenochaetus,27,pelagic,pelagic,mtDNA,8785,4,1,0.047,0.047,0.060445387
51,Acanthuridae_Ctenochaetus_striatus,Ctenochaetus_striatus,Acanthuridae,Ctenochaetus,26,pelagic,pelagic,allozymes,929,3,0,0.006,0.006,0.016260163
52,Acanthuridae_Ctenochaetus_strigosus,Ctenochaetus_strigosus,Acanthuridae,Ctenochaetus,18,pelagic,pelagic,mtDNA,2529,3,0,0.002,0.002,0.012145749
128,Acanthuridae_Naso_brevirostris,Naso_brevirostris,Acanthuridae,Naso,65,pelagic,pelagic,mtDNA,19618,4,1,0.03,0.03,0.041666667
129,Acanthuridae_Naso_unicornis,Naso_unicornis,Acanthuridae,Naso,82,pelagic,pelagic,mtDNA,19618,4,1,0.018,0.077,0.095290252
130,Acanthuridae_Naso_vlamingii,Naso_vlamingii,Acanthuridae,Naso,60,pelagic,pelagic,mtDNA,19618,4,1,0.0766,0.018,0.028806584
208,Acanthuridae_Zebrasoma_flavescens,Zebrasoma_flavescens,Acanthuridae,Zebrasoma,20,pelagic,pelagic,mtDNA,2529,3,0,0.001,0.001,0.011122346
141,Apogonidae_Apogon_doederleini,Apogon_doederleini,Apogonidae,Apogon,14,demersal,demersal,microsatellites,23,1,0,0.039,0.039,0.051524711
169,Apogonidae_Pterapogon_kauderni,Pterapogon_kauderni,Apogonidae,Pterapogon,8,no_egg,demersal,microsatellites,203,2,0,0.18,0.18,0.234567901
48,Blenniidae_Coryphoblennius_galerita,Coryphoblennius_galerita,Blennidae,Coryphoblennius,9,demersal,demersal,mtDNA,5802,4,1,0.967,0.967,42.47826087
