days,date,time ,depth,temp,spCond,Cond,Salinity,DO%,DO.Conc
-8,2015/6/24,11:42:55,0.041,19.96,465,420,0.22,125.4,11.4
-8,2015/6/24,11:42:56,-0.029,20.73,458,421,0.22,129,11.55
-8,2015/6/24,11:42:57,-0.113,21.34,444,413,0.21,128.2,11.34
-8,2015/6/24,11:42:58,-0.199,21.83,449,421,0.22,127.5,11.17
-8,2015/6/24,11:42:59,-0.269,22.21,446,423,0.21,126.9,11.04
-8,2015/6/24,11:43:00,-0.329,22.52,445,424,0.21,126.4,10.93
-8,2015/6/24,11:43:01,-0.406,22.76,436,417,0.21,126.1,10.86
-8,2015/6/24,11:43:02,-0.502,22.95,440,423,0.21,125.8,10.79
-8,2015/6/24,11:43:03,-0.583,23.1,440,424,0.21,125.6,10.74
-8,2015/6/24,11:43:04,-0.631,23.22,438,423,0.21,123,10.49
-8,2015/6/24,11:43:05,-0.681,23.32,432,418,0.21,122.9,10.47
-8,2015/6/24,11:43:06,-0.71,23.39,437,424,0.21,122.8,10.44
-8,2015/6/24,11:43:07,-0.726,23.45,437,424,0.21,122.7,10.42
-8,2015/6/24,11:43:08,-0.813,23.5,437,424,0.21,119.8,10.17
-8,2015/6/24,11:43:09,-0.86,23.53,430,418,0.21,119.8,10.16
-8,2015/6/24,11:43:10,-0.93,23.57,436,424,0.21,119.7,10.15
-8,2015/6/24,11:43:11,-0.938,23.59,436,424,0.21,119.7,10.14
-8,2015/6/24,11:43:12,-0.942,23.62,436,424,0.21,117,9.91
-8,2015/6/24,11:43:13,-0.939,23.64,430,418,0.21,116.9,9.9
8,2015/7/10,1:39:06,-0.036,23.77,0.387,0.378,0.18,,
8,2015/7/10,1:39:07,-0.065,23.87,0.387,0.379,0.18,,
8,2015/7/10,1:39:08,-0.152,24.05,0.385,0.378,0.18,,
8,2015/7/10,1:39:09,-0.203,24.18,0.384,0.378,0.18,,
8,2015/7/10,1:39:10,-0.268,24.26,0.382,0.377,0.18,,
8,2015/7/10,1:39:11,-0.341,24.27,0.379,0.373,0.18,,
8,2015/7/10,1:39:12,-0.385,24.16,0.377,0.371,0.18,,
8,2015/7/10,1:39:13,-0.427,23.96,0.376,0.368,0.18,,
8,2015/7/10,1:39:14,-0.479,23.71,0.373,0.364,0.18,,
8,2015/7/10,1:39:15,-0.451,23.47,0.374,0.363,0.18,,
8,2015/7/10,1:39:16,-0.559,23.26,0.372,0.36,0.18,,
8,2015/7/10,1:39:17,-0.686,23.06,0.372,0.358,0.18,,
8,2015/7/10,1:39:18,-0.669,22.87,0.371,0.356,0.18,,
8,2015/7/10,1:39:19,-0.775,22.69,0.371,0.355,0.18,,
8,2015/7/10,1:39:20,-0.819,22.53,0.373,0.355,0.18,,
8,2015/7/10,1:39:21,-0.941,22.38,0.374,0.355,0.18,,
8,2015/7/10,1:39:22,-0.952,22.25,0.373,0.354,0.18,,
8,2015/7/10,1:39:23,-1.032,22.14,0.374,0.354,0.18,,
8,2015/7/10,1:39:24,-1.179,22.05,0.376,0.355,0.18,,
8,2015/7/10,1:39:25,-1.249,21.96,0.378,0.356,0.18,,
8,2015/7/10,1:39:26,-1.347,21.87,0.385,0.362,0.18,,
8,2015/7/10,1:39:27,-1.384,21.79,0.39,0.366,0.19,,
8,2015/7/10,1:39:28,-1.376,21.72,0.393,0.368,0.19,,
8,2015/7/10,1:39:29,-1.497,21.66,0.399,0.374,0.19,,
8,2015/7/10,1:39:30,-1.554,21.57,0.415,0.388,0.2,,
8,2015/7/10,1:39:31,-1.558,21.46,0.417,0.389,0.2,,
8,2015/7/10,1:39:32,-1.562,21.35,0.42,0.391,0.2,,
8,2015/7/10,1:39:33,-1.57,21.27,0.419,0.389,0.2,,
8,2015/7/10,1:39:34,-1.586,21.2,0.418,0.387,0.2,,
8,2015/7/10,1:39:35,-1.592,21.14,0.419,0.388,0.2,,
8,2015/7/10,1:39:36,-1.602,21.1,0.419,0.388,0.2,,
8,2015/7/10,1:39:37,-1.62,21.07,0.42,0.389,0.2,,
23,2015/7/25,10:22:59,-0.119,24.14,0.387,0.381,0.18,123.6,10.37
23,2015/7/25,10:23:00,-0.139,24.13,0.388,0.381,0.19,123.6,10.37
23,2015/7/25,10:23:00,-0.174,24.12,0.387,0.38,0.18,123.6,10.37
23,2015/7/25,10:23:01,-0.202,24.11,0.388,0.381,0.19,123.6,10.38
23,2015/7/25,10:23:01,-0.247,24.09,0.387,0.381,0.18,115.2,9.67
23,2015/7/25,10:23:02,-0.328,24.07,0.388,0.381,0.18,115.2,9.68
23,2015/7/25,10:23:02,-0.359,24.04,0.384,0.377,0.18,115.3,9.69
23,2015/7/25,10:23:03,-0.413,24.01,0.387,0.38,0.18,115.3,9.7
23,2015/7/25,10:23:03,-0.498,23.98,0.387,0.379,0.18,115.3,9.7
23,2015/7/25,10:23:04,-0.596,23.95,0.385,0.378,0.18,115.4,9.71
23,2015/7/25,10:23:04,-0.666,23.91,0.386,0.378,0.18,115.4,9.72
23,2015/7/25,10:23:05,-0.76,23.86,0.385,0.377,0.18,115.5,9.74
23,2015/7/25,10:23:05,-0.814,23.82,0.385,0.377,0.18,108.7,9.17
23,2015/7/25,10:23:06,-0.829,23.77,0.386,0.376,0.18,108.7,9.18
23,2015/7/25,10:23:06,-0.86,23.73,0.382,0.373,0.18,108.8,9.19
23,2015/7/25,10:23:07,-0.9,23.69,0.386,0.376,0.18,108.8,9.2
23,2015/7/25,10:23:07,-0.975,23.66,0.386,0.376,0.18,108.8,9.21
23,2015/7/25,10:23:08,-1.032,23.62,0.386,0.375,0.18,108.9,9.22
23,2015/7/25,10:23:08,-1.076,23.59,0.386,0.375,0.18,108.9,9.23
23,2015/7/25,10:23:09,-1.106,23.55,0.387,0.376,0.18,109,9.24
23,2015/7/25,10:23:11,-1.118,23.41,0.387,0.375,0.18,102.9,8.75
