Pond,Green algae,Diatoms,Cyanobacteria,Euglenophyceae,Cryptophyceae,Dinophyceae,Chrysophyceae,Others
202L,1838136.527,2114278.938,0,0,71431.29974,46783.5506,21992.71937,11168.9902
202L,366860.5785,512423.4778,0,3685.769631,0,0,157393.7919,3015.928947
202L,312350.1683,198774.096,147.2621556,584301.5216,10709.34029,842103.9108,942.4777961,4021.238597
202L,249041.6142,664487.6663,530.1437603,215740.8942,0,187134.2024,942.4777961,15414.74795
202L,98982.06271,201460.5788,0,2026536.073,0,93567.1012,0,55851.65307
202L,15057.32062,151019.9242,0,987454.1813,42837.36116,233917.753,43825.21752,335.1032164
202L,54551.20455,60407.96966,0,31276.15772,64256.04174,0,153623.8808,8042.477193
219L,301475.0762,388095.994,35269.61352,48435.24615,45086.32262,0,9919.578804,63492.00641
219L,110326.2518,48326.37573,0,5897.23141,0,1076021.664,1884.955592,16621.11953
219L,1914897.668,277876.6604,0,1016490.062,0,421051.9554,0,0
219L,2388393.106,201460.5788,200.2765317,49131.30918,0,93567.1012,0,8937.202781
219L,96396.22949,621295.968,2.208932335,16843.96721,24524.38926,93567.1012,0,10723.30292
219L,560062.7478,289958.2544,0,35383.38846,0,0,0,0
219L,10070.37969,431312.9034,0,102022.0497,0,0,0,10525.59203
204M,155233.7383,314121.4422,3612.831552,2948.615705,0,0,0,57637.75322
204M,54192.56783,3317.69463,0,3870.058113,0,140350.6518,0,1410.784541
204M,26347.17971,0,147.2621556,311307.8273,85674.72232,1403506.518,942.4777961,8377.58041
204M,54152.9626,241631.8786,0,0,0,701753.259,11309.73355,13404.12866
204M,8776.103793,362447.818,0,60762.31477,42837.36116,0,0,18765.78012
204M,423.2691948,48326.37573,0,25674.00282,8567.472232,0,1507.964474,1072.330292
204M,3015.179492,172464.7534,0,347229.0658,45835.97644,93567.1012,0,9570.54786
218M,120127.1832,38065.82045,0,87467.17546,0,93567.1012,942.4777961,1340.412866
218M,155026.0784,211427.8938,0,36857.69631,0,0,471.238898,6366.961111
218M,661646.8583,0,353.4291735,0,0,46783.5506,0,0
218M,397393.2007,289386.0505,128.1180754,54654.62148,0,187134.2024,0,58978.16608
218M,124631.6854,0,898.2991494,349868.7019,42837.36116,46783.5506,0,33510.32164
218M,6365.279148,144979.1272,0,8845.847115,25702.4167,0,0,536.1651462
218M,33925.83284,258848.15,0,10541.30114,30628.71323,0,0,20096.13989
203H,1228244.779,0,0,0,35662.10317,0,0,0
203H,4467554.734,534768.4164,0,10541.30114,0,374268.4048,0,5264.471529
203H,2074665.049,181946.8929,314.1543566,9841.004915,0,140350.6518,0,3575.551319
203H,667219.8322,2657950.665,4600.469742,81613.08658,42837.36116,187134.2024,0,124658.3965
203H,128578.0016,1208159.393,194386.0454,586723.844,142755.5061,0,28274.33388,93828.90059
203H,100630.8294,2114278.938,2309.0706,1453678.298,0,280701.3036,1466495.451,0
203H,761645.3444,2521126.614,1309.046435,153807.1667,0,0,0,22374.84176
217H,149716.665,55877.37194,0,0,39624.55907,46783.5506,104718.7079,619.9409503
217H,38023.26049,31714.18407,486.745603,15517.09015,0,0,0,351.8583772
217H,19360.19716,157060.7211,12409.29098,147430.7852,29986.15281,280701.3036,0,2680.825731
217H,48663.43418,1897414.327,0,42091.48919,0,0,5381.548216,24881.41382
217H,26198.97299,23877.08591,0,14743.07852,21418.68058,467835.506,0,22116.81228
217H,15896.16792,24163.18786,0,2948.615705,0,0,1130.973355,670.2064328
217H,283.061274,0,0,2788.79073,11458.99411,93567.1012,0,34200.63426
